NOMBRE|EDAD|VALORACION_GENERAL|POTENCIAL|EQUIPO_ACTUAL|CONTRATO|ID_JUGADOR|PIE_FAVORITO|MEJOR_POSICION|SRC_JUGADOR|EQUIPO|URL_EQUIPO|ID_EQUIPO|SRC_LOGO|SRC_FLAG|PJE_GLOBAL|PJE_ATAQUE|PJE_MEDIOCAMPO|PJE_DEFENSA|GRUPO|PUESTO|PTS|PJ|PG|PE|PP|DG|INSTANCIA_ALCANZADA|MEJOR_POSICION_DESC|PESO (KG)|ALTURA (CM)|ICM (KG/M^2)
A. Afif|25|77|80|LW|2020 ~ 2025|234051|Derecho|RM|https://cdn.sofifa.net/players/234/051/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Medio Derecho|70|176|22.59814049586777
M. Muntari|28|68|68|SUB|2022 ~ 2027|268780|Derecho|ST|https://cdn.sofifa.net/players/268/780/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Delantero Centro|77|192|20.887586805555557
A. Alaaeldin|29|66|66|SUB|2022 ~ 2027|268779|Derecho|ST|https://cdn.sofifa.net/players/268/779/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Delantero Centro|73|176|23.56663223140496
A. Asad|29|69|69|SUB|2022 ~ 2027|270564|Izquierdo|LW|https://cdn.sofifa.net/players/270/564/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Extremo Izquierdo|61|174|20.147971991015986
M. Waad|22|66|75|SUB|2022 ~ 2027|268775|Izquierdo|CDM|https://cdn.sofifa.net/players/268/775/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Medio Centro Defensivo|68|183|20.305174833527424
T. Salman|24|70|77|SUB|2022 ~ 2025|238878|Derecho|CB|https://cdn.sofifa.net/players/238/878/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Defensa Central|69|179|21.534908398614277
I. Mohammad|32|68|68|SUB|2022 ~ 2027|268774|Derecho|RWB|https://cdn.sofifa.net/players/268/774/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Carrillero Derecho|64|172|21.63331530557058
M. Barsham|24|68|74|SUB|2022 ~ 2027|268783|Derecho|GK|https://cdn.sofifa.net/players/268/783/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Portero|72|180|22.22222222222222
S. Al Hajri|26|63|67|SUB|2022 ~ 2027|268785|Derecho|CB|https://cdn.sofifa.net/players/268/785/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Defensa Central|74|183|22.096807907073963
M. Kheder|28|66|66|SUB|2022 ~ 2027|268784|Derecho|RWB|https://cdn.sofifa.net/players/268/784/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Carrillero Derecho|64|176|20.66115702479339
A. Madibo|25|67|71|SUB|2022 ~ 2025|239878|Derecho|CB|https://cdn.sofifa.net/players/239/878/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Defensa Central|72|168|25.510204081632658
Y. Hassan|26|65|68|SUB|2022 ~ 2027|270642|Derecho|GK|https://cdn.sofifa.net/players/270/642/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Portero|78|186|22.54595907041276
K. Muneer|24|63|67|SUB|2022 ~ 2027|270643|Derecho|RM|https://cdn.sofifa.net/players/270/643/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Medio Derecho|67|174|22.12973972783723
J. Gaber|20|61|73|RES|2022 ~ 2027|268982|Izquierdo|CB|https://cdn.sofifa.net/players/268/982/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Defensa Central|71|182|21.434609346697258
N. Al Hadhrami|20|60|69|RES|2022 ~ 2027|272470|Derecho|CAM|https://cdn.sofifa.net/players/272/470/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|MEdio Centro Ofensivo|66|180|20.37037037037037
M. Tarek|21|60|69|RES|2022 ~ 2027|272471|Izquierdo|LWB|https://cdn.sofifa.net/players/272/471/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos|Carrillero Izquierdo|75|174|24.772096710265558
A. Domínguez|35|74|74|GK|2022 ~ 2022|199103|Derecho|GK|https://cdn.sofifa.net/players/199/103/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Portero|81|195|21.301775147928996
Á. Preciado|24|70|76|RB|2021 ~ 2023|246055|Derecho|RWB|https://cdn.sofifa.net/players/246/055/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Carrillero Derecho|73|173|24.3910588392529
F. Torres|25|76|83|RCB|2019 ~ 2025|252053|Derecho|CB|https://cdn.sofifa.net/players/252/053/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Defensa Central|77|187|22.019502988361115
P. Hincapié|20|79|86|LCB|2021 ~ 2026|256197|Izquierdo|CB|https://cdn.sofifa.net/players/256/197/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Defensa Central|66|183|19.70796380901191
P. Estupiñán|24|80|84|LB|2020 ~ 2027|237942|Izquierdo|LB|https://cdn.sofifa.net/players/237/942/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Lateral Izquierdo|78|175|25.46938775510204
C. Gruezo|27|75|78|RDM|2019 ~ 2024|221860|Derecho|CDM|https://cdn.sofifa.net/players/221/860/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Medio Centro Defensivo|71|173|23.722810651876106
M. Caicedo|20|76|88|LDM|2021 ~ 2025|256079|Derecho|CDM|https://cdn.sofifa.net/players/256/079/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Medio Centro Defensivo|71|178|22.408786769347305
G. Plata|21|79|89|RM|2022 ~ 2027|247181|Izquierdo|CAM|https://cdn.sofifa.net/players/247/181/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|MEdio Centro Ofensivo|65|178|20.515086478979924
R. Ibarra|27|73|73|LM|2019 ~ 2024|241498|Derecho|RM|https://cdn.sofifa.net/players/241/498/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Medio Derecho|77|175|25.142857142857142
Á. Mena|34|77|77|CAM|2019 ~ 2024|223053|Izquierdo|LW|https://cdn.sofifa.net/players/223/053/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Extremo Izquierdo|71|168|25.15589569160998
E. Valencia|32|76|76|ST|2020 ~ 2023|220295|Derecho|ST|https://cdn.sofifa.net/players/220/295/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Delantero Centro|74|177|23.620287912158062
M. Estrada|26|74|77|SUB|2020 ~ 2022|240944|Derecho|ST|https://cdn.sofifa.net/players/240/944/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Delantero Centro|78|187|22.305470559638533
A. Preciado|27|73|73|SUB|2018 ~ 2022|241412|Derecho|LM|https://cdn.sofifa.net/players/241/412/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Medio Izquierdo|72|181|21.97735111870822
J. Méndez|25|70|75|SUB|2019 ~ 2022|246057|Derecho|CDM|https://cdn.sofifa.net/players/246/057/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Medio Centro Defensivo|72|175|23.510204081632654
A. Franco|23|70|76|SUB|2020 ~ 2024|246058|Derecho|CAM|https://cdn.sofifa.net/players/246/058/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|MEdio Centro Ofensivo|67|175|21.877551020408163
R. Arboleda|30|74|74|SUB|2017 ~ 2024|228233|Izquierdo|CB|https://cdn.sofifa.net/players/228/233/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Defensa Central|80|189|22.395789591556788
D. Palacios|22|72|80|SUB|2019 ~ 2022|245065|Izquierdo|LWB|https://cdn.sofifa.net/players/245/065/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Carrillero Izquierdo|68|169|23.80869017191275
H. Galíndez|35|73|73|SUB|2022 ~ 2022|253354|Derecho|GK|https://cdn.sofifa.net/players/253/354/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Portero|90|189|25.195263290501387
X. Arreaga|27|71|71|SUB|2019 ~ 2023|246406|Derecho|CB|https://cdn.sofifa.net/players/246/406/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Defensa Central|75|184|22.152646502835537
M. Ramírez|21|71|83|SUB|2018 ~ 2023|256161|Derecho|GK|https://cdn.sofifa.net/players/256/161/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Portero|68|185|19.86851716581446
J. Cifuentes|23|71|80|SUB|2020 ~ 2022|255137|Derecho|CAM|https://cdn.sofifa.net/players/255/137/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|MEdio Centro Ofensivo|70|175|22.857142857142858
W. Pacho|20|69|79|SUB|2022 ~ 2026|256196|Derecho|CB|https://cdn.sofifa.net/players/256/196/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Defensa Central|81|186|23.413111342351716
J. Sarmiento|20|69|83|SUB|2021 ~ 2026|263522|Derecho|RM|https://cdn.sofifa.net/players/263/522/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos|Medio Derecho|72|183|21.49959688255845
