NOMBRE|EDAD|VALORACION GENERAL|POTENCIAL|EQUIPO Y CONTRATO|ID_JUGADOR|ALTURA|PESO|PIE FAVORITO|MEJOR POSICION|VALOR|SALARIO|SRC_JUGADOR|EQUIPO|URL_EQUIPO|ID_EQUIPO|SRC_LOGO|SRC_FLAG|PJE_GLOBAL|PJE_ATAQUE|PJE_MEDIOCAMPO|PJE_DEFENSA|GRUPO|PUESTO|PTS|PJ|PG|PE|PP|DG|INSTANCIA ALCANZADA
A. AlaaeldinST RW|29|66|66|"SUB (7)
2022 ~ 2027"|268779|"176cm / 5'9"""|73kg / 161lbs|Right|ST|€0|€0|https://cdn.sofifa.net/players/268/779/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
A. AsadCAM RW LW|29|69|69|"SUB (8)
2022 ~ 2027"|270564|"174cm / 5'9"""|61kg / 134lbs|Left|LW|€0|€0|https://cdn.sofifa.net/players/270/564/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
M. WaadCDM CB LWB|22|66|75|"SUB (4)
2022 ~ 2027"|268775|"183cm / 6'0"""|68kg / 150lbs|Left|CDM|€0|€0|https://cdn.sofifa.net/players/268/775/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
T. SalmanCB LB|24|70|77|"SUB (5)
2022 ~ 2025"|238878|"179cm / 5'10"""|69kg / 152lbs|Right|CB|€0|€0|https://cdn.sofifa.net/players/238/878/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
I. MohammadRWB RW RB|32|68|68|"SUB (17)
2022 ~ 2027"|268774|"172cm / 5'8"""|64kg / 141lbs|Right|RWB|€0|€0|https://cdn.sofifa.net/players/268/774/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
M. BarshamGK|24|68|74|"SUB (22)
2022 ~ 2027"|268783|"180cm / 5'11"""|72kg / 159lbs|Right|GK|€0|€0|https://cdn.sofifa.net/players/268/783/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
S. Al HajriCDM CB|26|63|67|"SUB (20)
2022 ~ 2027"|268785|"183cm / 6'0"""|74kg / 163lbs|Right|CB|€0|€0|https://cdn.sofifa.net/players/268/785/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
M. KhederRWB CB RB|28|66|66|"SUB (13)
2022 ~ 2027"|268784|"176cm / 5'9"""|64kg / 141lbs|Right|RWB|€0|€0|https://cdn.sofifa.net/players/268/784/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
A. MadiboCDM CM|25|67|71|"SUB (23)
2022 ~ 2025"|239878|"168cm / 5'6"""|72kg / 159lbs|Right|CB|€0|€0|https://cdn.sofifa.net/players/239/878/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
Y. HassanGK|26|65|68|"SUB (21)
2022 ~ 2027"|270642|"186cm / 6'1"""|78kg / 172lbs|Right|GK|€0|€0|https://cdn.sofifa.net/players/270/642/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
K. MuneerLW|24|63|67|"SUB (18)
2022 ~ 2027"|270643|"174cm / 5'9"""|67kg / 148lbs|Right|RM|€0|€0|https://cdn.sofifa.net/players/270/643/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
J. GaberCDM CB|20|61|73|"RES (25)
2022 ~ 2027"|268982|"182cm / 6'0"""|71kg / 157lbs|Left|CB|€0|€0|https://cdn.sofifa.net/players/268/982/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
N. Al HadhramiCAM|20|60|69|"RES (24)
2022 ~ 2027"|272470|"180cm / 5'11"""|66kg / 146lbs|Right|CAM|€0|€0|https://cdn.sofifa.net/players/272/470/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
M. TarekCM|21|60|69|"RES (26)
2022 ~ 2027"|272471|"174cm / 5'9"""|75kg / 165lbs|Left|LWB|€0|€0|https://cdn.sofifa.net/players/272/471/23_60.png|Qatar|https://sofifa.com/team/111527/qatar/?showCol%5B%5D=ae&showCol%5B%5D=oa&showCol%5B%5D=pt&showCol%5B%5D=vl&showCol%5B%5D=wg&showCol%5B%5D=tt&showCol%5B%5D=pi&showCol%5B%5D=hi&showCol%5B%5D=wi&showCol%5B%5D=pf&showCol%5B%5D=bp|111527|https://cdn.sofifa.net/teams/111527/120.png|https://cdn.sofifa.net/flags/qa.png|71|73|71|71|GRUPO A|32|0|3|0|0|3|-6|Fase de grupos
A. DomínguezGK|35|74|74|"GK (22)
2022 ~ 2022"|199103|"195cm / 6'5"""|81kg / 179lbs|Right|GK|€0|€0|https://cdn.sofifa.net/players/199/103/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
Á. PreciadoRB RWB RM|24|70|76|"RB (17)
2021 ~ 2023"|246055|"173cm / 5'8"""|73kg / 161lbs|Right|RWB|€0|€0|https://cdn.sofifa.net/players/246/055/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
F. TorresCB|25|76|83|"RCB (2)
2019 ~ 2025"|252053|"187cm / 6'2"""|77kg / 170lbs|Right|CB|€0|€0|https://cdn.sofifa.net/players/252/053/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
P. HincapiéCB LB|20|79|86|"LCB (3)
2021 ~ 2026"|256197|"183cm / 6'0"""|66kg / 146lbs|Left|CB|€0|€0|https://cdn.sofifa.net/players/256/197/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
P. EstupiñánLB LWB|24|80|84|"LB (7)
2020 ~ 2027"|237942|"175cm / 5'9"""|78kg / 172lbs|Left|LB|€0|€0|https://cdn.sofifa.net/players/237/942/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
C. GruezoCDM CM|27|75|78|"RDM (8)
2019 ~ 2024"|221860|"173cm / 5'8"""|71kg / 157lbs|Right|CDM|€0|€0|https://cdn.sofifa.net/players/221/860/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
M. CaicedoCDM|20|76|88|"LDM (23)
2021 ~ 2025"|256079|"178cm / 5'10"""|71kg / 157lbs|Right|CDM|€0|€0|https://cdn.sofifa.net/players/256/079/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
G. PlataRM RW|21|79|89|"RM (19)
2022 ~ 2027"|247181|"178cm / 5'10"""|65kg / 143lbs|Left|CAM|€0|€0|https://cdn.sofifa.net/players/247/181/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
R. IbarraRM LM|27|73|73|"LM (10)
2019 ~ 2024"|241498|"175cm / 5'9"""|77kg / 170lbs|Right|RM|€0|€0|https://cdn.sofifa.net/players/241/498/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
Á. MenaCAM RM|34|77|77|"CAM (15)
2019 ~ 2024"|223053|"168cm / 5'6"""|71kg / 157lbs|Left|LW|€0|€0|https://cdn.sofifa.net/players/223/053/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
E. ValenciaST RW LW|32|76|76|"ST (13)
2020 ~ 2023"|220295|"177cm / 5'10"""|74kg / 163lbs|Right|ST|€0|€0|https://cdn.sofifa.net/players/220/295/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
M. EstradaST|26|74|77|"SUB (11)
2020 ~ 2022"|240944|"187cm / 6'2"""|78kg / 172lbs|Right|ST|€0|€0|https://cdn.sofifa.net/players/240/944/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
A. PreciadoLM RM|27|73|73|"SUB (9)
2018 ~ 2022"|241412|"181cm / 5'11"""|72kg / 159lbs|Right|LM|€0|€0|https://cdn.sofifa.net/players/241/412/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
J. MéndezCDM CM|25|70|75|"SUB (20)
2019 ~ 2022"|246057|"175cm / 5'9"""|72kg / 159lbs|Right|CDM|€0|€0|https://cdn.sofifa.net/players/246/057/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
A. FrancoCM RM|23|70|76|"SUB (21)
2020 ~ 2024"|246058|"175cm / 5'9"""|67kg / 148lbs|Right|CAM|€0|€0|https://cdn.sofifa.net/players/246/058/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
R. ArboledaCB|30|74|74|"SUB (4)
2017 ~ 2024"|228233|"189cm / 6'2"""|80kg / 176lbs|Left|CB|€0|€0|https://cdn.sofifa.net/players/228/233/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
D. PalaciosLB|22|72|80|"SUB (18)
2019 ~ 2022"|245065|"169cm / 5'7"""|68kg / 150lbs|Left|LWB|€0|€0|https://cdn.sofifa.net/players/245/065/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
H. GalíndezGK|35|73|73|"SUB (1)
2022 ~ 2022"|253354|"189cm / 6'2"""|90kg / 198lbs|Right|GK|€0|€0|https://cdn.sofifa.net/players/253/354/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
X. ArreagaCB|27|71|71|"SUB (14)
2019 ~ 2023"|246406|"184cm / 6'0"""|75kg / 165lbs|Right|CB|€0|€0|https://cdn.sofifa.net/players/246/406/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
M. RamírezGK|21|71|83|"SUB (12)
2018 ~ 2023"|256161|"185cm / 6'1"""|68kg / 150lbs|Right|GK|€0|€0|https://cdn.sofifa.net/players/256/161/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
J. CifuentesCDM CM|23|71|80|"SUB (5)
2020 ~ 2022"|255137|"175cm / 5'9"""|70kg / 154lbs|Right|CAM|€0|€0|https://cdn.sofifa.net/players/255/137/23_60.png|Ecuador|https://sofifa.com/team/111465/ecuador/|111465|https://cdn.sofifa.net/teams/111465/120.png|https://cdn.sofifa.net/flags/ec.png|75|75|75|75|GRUPO A|18|4|3|1|1|1|1|Fase de grupos
